Sample	Attribute	Primary	Attribute	Secondary	Scdry Attr	Cap	Sample	Primary	Secondary	Peak	Name	Position	MW(kDa)	Height	Area	%Area	Width	S/N	Baseline	Channel
"Biot. Ladder"	""	"Antibody Diluent"	""	"Streptavidin HRP"	""	1	A1	C1	D1	1	"Ldr 12"	242	12	11647.05	179974.211	 	14.5165	1165.3	115	CHEMI
"Biot. Ladder"	""	"Antibody Diluent"	""	"Streptavidin HRP"	""	1	A1	C1	D1	2	"Ldr 40"	357	40	12805.76	176754.506	 	12.9668	1426.4	159.97	CHEMI
"Biot. Ladder"	""	"Antibody Diluent"	""	"Streptavidin HRP"	""	1	A1	C1	D1	3	"Ldr 66"	429	66	11025.22	146428.669	 	12.4769	1312.4	163.77	CHEMI
"Biot. Ladder"	""	"Antibody Diluent"	""	"Streptavidin HRP"	""	1	A1	C1	D1	4	"Ldr 116"	472	116	15907.33	229054.182	 	13.5272	1870.8	158.42	CHEMI
"Biot. Ladder"	""	"Antibody Diluent"	""	"Streptavidin HRP"	""	1	A1	C1	D1	5	"Ldr 180"	511	180	9214.07	138305.927	 	14.1012	991.5	149.42	CHEMI
"Biot. Ladder"	""	"Antibody Diluent"	""	"Streptavidin HRP"	""	1	A1	C1	D1	6	"Ldr 230"	533	230	9559.28	132333.331	 	13.005	1014.8	142.83	CHEMI
"B1_LC_STD"	""	"Primary"	""	"Secondary"	""	2	A2	C2	D2	1		289	24.077	4681.19	92158.458	 	18.4947	52.7	648.78	CHEMI
"B1_LC_STD"	""	"Primary"	""	"Secondary"	""	2	A2	C2	D2	2		305	27.717	5133.21	66270.235	 	12.1282	76.3	674.95	CHEMI
"B1_LC_STD"	""	"Primary"	""	"Secondary"	""	2	A2	C2	D2	3		334	34.955	3740.94	126964.554	 	31.8837	20.9	705.08	CHEMI
"B1_LC_STD"	""	"Primary"	""	"Secondary"	""	2	A2	C2	D2	4		391	51.462	5718.58	129399.09	 	21.2574	92.1	706.6	CHEMI
"B1_LC_STD"	""	"Primary"	""	"Secondary"	""	2	A2	C2	D2	5		418	61.972	2581.34	76417.578	 	27.811	21.1	684.34	CHEMI
"B1_LC_STD"	""	"Primary"	""	"Secondary"	""	2	A2	C2	D2	6		537	229.698	4812.48	63605.326	 	12.4163	105.2	461.74	CHEMI
"sHF101.1"	""	"Primary"	""	"Secondary"	""	3	A3	C3	D3	1		189	2.721	12389.96	298653.474	 	22.6446	73.6	619.38	CHEMI
"sHF101.1"	""	"Primary"	""	"Secondary"	""	3	A3	C3	D3	2		326	35.17	5532.19	112321.226	 	19.0736	60.6	1006.2	CHEMI
"sHF101.1"	""	"Primary"	""	"Secondary"	""	3	A3	C3	D3	3		349	40.665	5074.36	127201.929	 	23.5494	28.3	1047.96	CHEMI
"sHF101.1"	""	"Primary"	""	"Secondary"	""	3	A3	C3	D3	4		379	51.437	11543.68	266141.261	 	21.6589	41.1	1092.35	CHEMI
"sHF101.1"	""	"Primary"	""	"Secondary"	""	3	A3	C3	D3	5		402	60.196	18760.33	550817.727	 	27.5826	37.4	1119.32	CHEMI
"sHF101.1"	""	"Primary"	""	"Secondary"	""	3	A3	C3	D3	6		455	105.115	47498.75	1353145.172	 	26.7627	87.4	1161.21	CHEMI
"sHF101.1"	""	"Primary"	""	"Secondary"	""	3	A3	C3	D3	7		488	154.582	153514.31	4949660.781	 	30.2897	558.8	1175.24	CHEMI
"sHF101.1"	""	"Primary"	""	"Secondary"	""	3	A3	C3	D3	8		521	204.741	66767.05	1353535.962	 	19.0448	100.3	1181.89	CHEMI
"sHF101.2"	""	"Primary"	""	"Secondary"	""	4	A4	C4	D4	1		192	2.818	11519.48	288996.058	 	23.5682	91.7	543.73	CHEMI
"sHF101.2"	""	"Primary"	""	"Secondary"	""	4	A4	C4	D4	2		327	35.429	2868.54	63709.729	 	20.8647	43.0	802.56	CHEMI
"sHF101.2"	""	"Primary"	""	"Secondary"	""	4	A4	C4	D4	3		348	41.469	3272.22	84573.106	 	24.2805	21.3	823.03	CHEMI
"sHF101.2"	""	"Primary"	""	"Secondary"	""	4	A4	C4	D4	4		379	51.856	7182.08	154973.521	 	20.271	52.0	845.84	CHEMI
"sHF101.2"	""	"Primary"	""	"Secondary"	""	4	A4	C4	D4	5		405	59.986	13838.51	393099.051	 	26.6858	62.5	858.76	CHEMI
"sHF101.2"	""	"Primary"	""	"Secondary"	""	4	A4	C4	D4	6		456	105.521	37592.9	889564.369	 	22.23	117.0	869.88	CHEMI
"sHF101.2"	""	"Primary"	""	"Secondary"	""	4	A4	C4	D4	7		491	157.308	174868.97	6143575.981	 	33.0047	1152.3	868.35	CHEMI
"sHF101.3"	""	"Primary"	""	"Secondary"	""	5	A5	C5	D5	1		187	3.015	11768.29	307341.127	 	24.5344	66.0	647.97	CHEMI
"sHF101.3"	""	"Primary"	""	"Secondary"	""	5	A5	C5	D5	2		323	35.025	4828.78	128102.543	 	24.9223	52.1	959.71	CHEMI
"sHF101.3"	""	"Primary"	""	"Secondary"	""	5	A5	C5	D5	3		379	51.881	11606.28	307389.46	 	24.8808	52.0	962.68	CHEMI
"sHF101.3"	""	"Primary"	""	"Secondary"	""	5	A5	C5	D5	4		402	60.831	17497.5	513899.406	 	27.5912	45.0	946.56	CHEMI
"sHF101.3"	""	"Primary"	""	"Secondary"	""	5	A5	C5	D5	5		455	106.165	49547.16	1176106.478	 	22.2995	160.1	877.11	CHEMI
"sHF101.3"	""	"Primary"	""	"Secondary"	""	5	A5	C5	D5	6		488	154.504	174150.11	5537561.811	 	29.8719	854.0	814.69	CHEMI
"sHF101.3"	""	"Primary"	""	"Secondary"	""	5	A5	C5	D5	7		522	209.548	67949.14	1572582.218	 	21.7419	87.4	738.16	CHEMI
"sHF101.4"	""	"Primary"	""	"Secondary"	""	6	A6	C6	D6	1		190	2.685	14440.24	356740.992	 	23.2085	85.1	650.95	CHEMI
"sHF101.4"	""	"Primary"	""	"Secondary"	""	6	A6	C6	D6	2		324	35.449	4834.06	122876.619	 	23.8795	49.1	1059.54	CHEMI
"sHF101.4"	""	"Primary"	""	"Secondary"	""	6	A6	C6	D6	3		350	41.273	8383.48	198549.009	 	22.249	53.6	1107.58	CHEMI
"sHF101.4"	""	"Primary"	""	"Secondary"	""	6	A6	C6	D6	4		378	51.659	11051.16	227769.434	 	19.3622	58.9	1148.87	CHEMI
"sHF101.4"	""	"Primary"	""	"Secondary"	""	6	A6	C6	D6	5		403	60.202	18290.84	534843.865	 	27.4702	35.6	1177.41	CHEMI
"sHF101.4"	""	"Primary"	""	"Secondary"	""	6	A6	C6	D6	6		455	106.769	61095.66	1514307.679	 	23.2847	163.3	1214.89	CHEMI
"sHF101.4"	""	"Primary"	""	"Secondary"	""	6	A6	C6	D6	7		487	154.37	202521.08	6133763.197	 	28.4528	972.8	1225.55	CHEMI
"sHF101.4"	""	"Primary"	""	"Secondary"	""	6	A6	C6	D6	8		522	210.767	84495.2	2048428.295	 	22.7749	84.9	1228.57	CHEMI
"sHF101.5"	""	"Primary"	""	"Secondary"	""	7	A7	C7	D7	1		187	3.094	15479.37	407216.498	 	24.7138	123.5	643.88	CHEMI
"sHF101.5"	""	"Primary"	""	"Secondary"	""	7	A7	C7	D7	2		323	34.965	4259.34	98811.797	 	21.7938	78.6	1096.41	CHEMI
